delta_mean,delta_std,delta_entropy,theta_mean,theta_std,theta_entropy,alpha_mean,alpha_std,alpha_entropy,beta_mean,beta_std,beta_entropy,gamma_mean,gamma_std,gamma_entropy,userId
23.2578650795,27.7295075091,-32279.198016,14.224337703,24.1614367156,-32278.6213155,9.01586868244,20.2502651561,-32277.8864417,4.59860984763,14.9850507858,-32276.9761964,2.41248109718,10.9997970289,-32276.4796896,1
23.2502155014,27.6387546555,-32123.2252122,14.2191029682,24.098145699,-32122.9269283,9.02413736286,20.19738625,-32122.149416,4.60892548855,14.9488495612,-32121.1375624,2.43025408777,10.9727690328,-32120.3680145,1
23.2391537877,27.5255644572,-31927.7449671,14.2075165789,24.0216564481,-31927.9558791,9.02411097714,20.1358571066,-31927.2241794,4.63241356785,14.9002674967,-31925.9349637,2.45539616507,10.9382675355,-31924.8504315,1
23.2266397614,27.391939489,-31699.0763685,14.2041569432,23.926047874,-31699.9386385,9.06740910579,20.044551977,-31699.1417083,4.67667536246,14.8383080964,-31697.5435703,2.48820537612,10.8971669963,-31696.2047431,1
23.2146069955,27.2371749942,-31439.209092,14.2760239435,23.7719792829,-31440.6420438,9.16566179957,19.9181810826,-31439.8142236,4.74905115397,14.7607884317,-31437.9774469,2.53216279113,10.8488394036,-31436.4680548,1
23.2046500171,27.0618679018,-31151.7889553,14.3547248153,23.6010165347,-31154.003024,9.2632885265,19.7824882642,-31153.3446631,4.81855257751,14.6778781472,-31151.3610419,2.57402788497,10.7967080256,-31149.6928057,1
23.1974327519,26.8637627578,-30834.8451217,14.4371339,23.4138147601,-30838.2600608,9.35565914012,19.6386697985,-30837.9748218,4.88215883803,14.5897839793,-30835.835618,2.61657834825,10.7396306115,-30833.9036259,1
23.1932721593,26.6344766174,-30476.7178216,14.52437598,23.2041545094,-30481.9558866,9.44293407609,19.4825727028,-30482.1594159,4.93915718214,14.4940470636,-30479.8391449,2.66336971189,10.6748416188,-30477.4324843,1
23.192738872,26.3664327827,-30067.8452619,14.6170051642,22.966845119,-30075.7369774,9.52606673454,19.3102462494,-30076.4123482,4.99474706632,14.3869146917,-30073.9609309,2.71149867952,10.6015116358,-30071.0397323,1
23.1957139939,26.0641303227,-29616.5157548,14.7110442039,22.7071937694,-29627.9343404,9.60323084774,19.1248178975,-29628.9331412,5.05872472029,14.2667737835,-29626.3671381,2.75647086961,10.5218052538,-29623.1356806,1
23.2005469288,25.7382860371,-29138.1671267,14.8003690278,22.4351385747,-29153.7849068,9.67068574951,18.9328045827,-29154.914687,5.12674986121,14.1379325328,-29152.2552153,2.79583592868,10.4384352981,-29148.9087251,1
23.2050709357,25.3932716178,-28637.716906,14.8808469209,22.1548401904,-28657.9077022,9.72597228277,18.7367950308,-28659.0543911,5.1809005799,14.0071767225,-28656.4686335,2.82958739242,10.3519642719,-28652.9721358,1
23.207482492,25.0282702962,-28112.8700062,14.9500281295,21.8661713498,-28137.6871413,9.76944144898,18.5356569094,-28138.8963466,5.21582729012,13.8756845772,-28136.5052864,2.85977300769,10.2613272139,-28132.7162216,1
23.2062872646,24.6443326325,-27564.5417253,15.0055007807,21.5704881778,-27593.6627991,9.80473396269,18.3276366351,-27595.1258549,5.24066061733,13.7404252468,-27592.8964772,2.88578673006,10.1667037021,-27588.8383192,1
23.2000169728,24.2497184204,-27003.7419721,15.0441066923,21.2745825359,-27036.3890637,9.83751156637,18.113237876,-27038.3071252,5.26650959337,13.5998380131,-27036.1376857,2.90438661297,10.0704906082,-27031.9782058,1
23.1871624711,23.8551876917,-26444.2155862,15.0628828939,20.9868570318,-26479.1914546,9.8695973071,17.8957894809,-26481.6621566,5.29063798183,13.4577981437,-26479.5402654,2.9126209232,9.97552155159,-26475.4512255,1
23.1662052867,23.4649581887,-25889.9886488,15.0599821027,20.7106222059,-25925.855517,9.89472069962,17.6796010719,-25928.912782,5.30331878777,13.318460583,-25926.8232592,2.91630058582,9.88081412319,-25922.7744662,1
23.1355488542,23.0748075356,-25333.4958971,15.0343899527,20.4429647183,-25368.7781277,9.90485528783,17.4660012812,-25372.4423577,5.30229675891,13.1807030004,-25370.3058512,2.92217871275,9.78321544112,-25366.1155167,1
23.0940912158,22.6852537638,-24774.3413458,14.9858923132,20.1840745845,-24807.7003111,9.8944830218,17.2578249372,-24811.9406114,5.29537133002,13.041580153,-24809.6902955,2.92697929514,9.68349087115,-24805.3661237,1
23.0413094917,22.3016721944,-24218.9992007,14.9154347507,19.937066074,-24249.4060905,9.86075108138,17.0592557793,-24254.0690777,5.28506633188,12.9019156922,-24251.8177845,2.92178625173,9.58512903504,-24247.5200817,1
22.9770174874,21.930587121,-23675.3188005,14.8248541239,19.7053779942,-23702.1541013,9.80305924872,16.8739710421,-23706.936887,5.26443228418,12.7663479751,-23704.8307774,2.90443541286,9.49007235441,-23700.6407966,1
22.9006477861,21.5743799011,-23145.0594086,14.7158496752,19.4893694998,-23168.1002966,9.7225983926,16.7024021797,-23172.6195346,5.22627193179,12.637931329,-23170.5432119,2.87932167656,9.3973988191,-23166.4276443,1
22.810787533,21.2302314657,-22622.5671726,14.5896336554,19.2855844666,-22641.9256145,9.62234459963,16.5410707354,-22645.8562408,5.16857189154,12.5160838196,-22643.5970378,2.84917847609,9.30548325192,-22639.4892025,1
22.7053667882,20.8928178001,-22098.7828763,14.4482748812,19.0878102825,-22114.8533505,9.5081619088,16.3835106117,-22118.0647628,5.09924945365,12.3959358452,-22115.6335894,2.82031866699,9.21139028936,-22111.4155898,1
22.5843109914,20.5638107462,-21575.5950941,14.3000132361,18.8913687131,-21589.004265,9.39185396499,16.224534401,-21591.6128635,5.0351475576,12.2723531442,-21589.2066859,2.79428277076,9.11556742898,-21584.882954,1
22.4475336598,20.244364376,-21054.1823233,14.1587360471,18.6868269545,-21065.5605682,9.28926947833,16.0562640026,-21067.8313492,4.98986397132,12.1408849397,-21065.5782931,2.76772821587,9.01927091077,-21061.2908914,1
22.2963958295,19.9386134056,-20540.6142105,14.0423431553,18.4644688067,-20550.4687439,9.21772010541,15.8717641708,-20552.666523,4.96740784067,12.0015032341,-20550.5293116,2.74736977838,8.92185541567,-20546.3842044,1
22.1328843004,19.6511025674,-20041.753287,13.9535468435,18.226289972,-20050.6040113,9.17697719667,15.6739305084,-20052.9332438,4.9530449771,11.8614720457,-20050.9290093,2.7358143596,8.8239110323,-20046.8702461,1
21.9548968159,19.378318934,-19550.9289015,13.8771457629,17.9794742545,-19559.4835445,9.14896921248,15.469642867,-19562.1086532,4.93318175542,11.7239603739,-19560.27878,2.72854113176,8.72516837527,-19556.1722526,1
